Feature,Coefficient,Abs_Coefficient
Total_Experience^2 Inhand_Offer,10944.574038935703,10944.574038935703
Total_Experience_in_field_applied,-10922.373994214702,10922.373994214702
Passing_Year_Of_Graduation No_Of_Companies_worked,10909.735870258055,10909.735870258055
Number_of_Publications PHD_Specialization_encoded,-10894.696139732221,10894.696139732221
No_Of_Companies_worked Role_encoded Industry_encoded,-10861.512118973444,10861.512118973444
Total_Experience Total_Experience_in_field_applied Passing_Year_Of_Graduation,-10860.759126397688,10860.759126397688
Total_Experience_in_field_applied Curent_Location_encoded,-10844.94034438237,10844.94034438237
Number_of_Publications University_PG_encoded,-10791.87061088696,10791.87061088696
Current_CTC University_Grad_encoded,10757.56741443585,10757.56741443585
Number_of_Publications PG_Specialization_encoded,-10748.244077193809,10748.244077193809
Total_Experience Passing_Year_Of_Graduation Certifications,-10696.465999382435,10696.465999382435
Passing_Year_Of_Graduation^2 Has_PHD,10682.431676361415,10682.431676361415
Passing_Year_Of_PG No_Of_Companies_worked Field_Specialization_Ratio,-10680.028544321061,10680.028544321061
Total_Experience_in_field_applied Certifications,10666.975643464019,10666.975643464019
Number_of_Publications University_Grad_encoded,-10664.455288465992,10664.455288465992
Passing_Year_Of_Graduation Current_CTC University_PHD_encoded,10626.281415203961,10626.281415203961
Passing_Year_Of_PG Field_Specialization_Ratio,-10557.444794058683,10557.444794058683
Total_Experience Role_encoded,10535.158037513214,10535.158037513214
Passing_Year_Of_PG Has_PHD,-10453.94070568155,10453.94070568155
Passing_Year_Of_Graduation Performance_Score Department_encoded,10450.77055643598,10450.77055643598
Passing_Year_Of_Graduation Passing_Year_Of_PG Field_Specialization_Ratio,10426.8330865667,10426.8330865667
Passing_Year_Of_PG No_Of_Companies_worked Has_PG,-10368.253364500843,10368.253364500843
Passing_Year_Of_PHD Has_PG Has_PHD,10250.76565748637,10250.76565748637
Total_Experience Total_Experience_in_field_applied Graduation_Specialization_encoded,-10223.597799855612,10223.597799855612
Total_Experience_in_field_applied Role_encoded,10202.50922612323,10202.50922612323
Total_Experience^2 Number_of_Publications,10181.159895207029,10181.159895207029
Current_CTC Graduation_Specialization_encoded,10175.258794691625,10175.258794691625
Inhand_Offer Graduation_Specialization_encoded,-10125.893696146431,10125.893696146431
Passing_Year_Of_PG University_PG_encoded,-10088.6528518644,10088.6528518644
Passing_Year_Of_Graduation Passing_Year_Of_PHD Has_PHD,-10076.467624125824,10076.467624125824
Current_CTC Field_Specialization_Ratio,10060.492868270981,10060.492868270981
Passing_Year_Of_Graduation Current_CTC PHD_Specialization_encoded,10038.416555412652,10038.416555412652
Passing_Year_Of_Graduation Has_PHD Performance_Score,10001.836929855308,10001.836929855308
Total_Experience Passing_Year_Of_PHD Field_Specialization_Ratio,-10000.20567248599,10000.20567248599
Current_CTC Department_encoded Organization_encoded,-9978.278297778148,9978.278297778148
Total_Experience Current_CTC^2,-9964.545553645823,9964.545553645823
Total_Experience^2 Passing_Year_Of_PG,9910.54617116049,9910.54617116049
Passing_Year_Of_Graduation Has_PG Performance_Score,9894.801646051923,9894.801646051923
Passing_Year_Of_Graduation Inhand_Offer Performance_Score,9889.50983138375,9889.50983138375
Passing_Year_Of_PG No_Of_Companies_worked Has_PHD,-9856.036985182094,9856.036985182094
Education_Level_encoded^3,9843.180167670509,9843.180167670509
Current_CTC^2 Has_PG,9829.776942938512,9829.776942938512
